Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 27. September 2009;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt.;
Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;DIE LINKE;FDP;GRÜNE;NPD;MLPD;REP;PIRATEN;Einzelbewerber;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1415;913;64,5;2;1,0;99,0;13,8;36,3;22,8;14,9;6,7;2,3;0,0;0,1;3,0;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;664;475;71,5;1;10;465;100;171;120;30;25;11;x;x;x;8;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;664;475;71,5;1;2,1;97,9;21,5;36,8;25,8;6,5;5,4;2,4;x;x;x;1,7;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;664;475;71,5;2;8;467;62;163;133;53;31;10;0;1;14;x;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;664;475;71,5;2;1,7;98,3;13,3;34,9;28,5;11,3;6,6;2,1;0,0;0,2;3,0;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1582;1052;66,5;1;14;1038;204;388;237;102;65;32;x;x;x;10;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1582;1052;66,5;1;1,3;98,7;19,7;37,4;22,8;9,8;6,3;3,1;x;x;x;1,0;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1582;1052;66,5;2;14;1038;159;390;238;149;55;27;2;0;18;x;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1582;1052;66,5;2;1,3;98,7;15,3;37,6;22,9;14,4;5,3;2,6;0,2;0,0;1,7;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;690;428;62,0;1;6;422;97;142;109;36;19;15;x;x;x;4;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;690;428;62,0;1;1,4;98,6;23,0;33,6;25,8;8,5;4,5;3,6;x;x;x;0,9;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;690;428;62,0;2;7;421;70;128;120;60;14;15;0;0;14;x;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;690;428;62,0;2;1,6;98,4;16,6;30,4;28,5;14,3;3,3;3,6;0,0;0,0;3,3;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;765;460;60,1;1;7;453;74;145;129;36;45;20;x;x;x;4;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;765;460;60,1;1;1,5;98,5;16,3;32,0;28,5;7,9;9,9;4,4;x;x;x;0,9;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;765;460;60,1;2;6;454;61;137;127;54;32;17;3;1;22;x;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;765;460;60,1;2;1,3;98,7;13,4;30,2;28,0;11,9;7,0;3,7;0,7;0,2;4,8;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;403;249;61,8;1;3;246;46;87;70;15;10;16;x;x;x;2;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;403;249;61,8;1;1,2;98,8;18,7;35,4;28,5;6,1;4,1;6,5;x;x;x;0,8;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;403;249;61,8;2;1;248;33;85;71;27;15;14;1;0;2;x;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;403;249;61,8;2;0,4;99,6;13,3;34,3;28,6;10,9;6,0;5,6;0,4;0,0;0,8;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;655;355;54,2;1;3;352;93;112;79;33;17;18;x;x;x;0;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;655;355;54,2;1;0,8;99,2;26,4;31,8;22,4;9,4;4,8;5,1;x;x;x;0,0;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;655;355;54,2;2;5;350;64;105;83;56;26;13;0;0;3;x;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;655;355;54,2;2;1,4;98,6;18,3;30,0;23,7;16,0;7,4;3,7;0,0;0,0;0,9;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;990;0,0;1;7;983;207;360;218;82;94;10;x;x;x;12;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;990;0,0;1;0,7;99,3;21,1;36,6;22,2;8,3;9,6;1,0;x;x;x;1,2;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;990;0,0;2;5;985;153;389;223;105;77;6;2;5;25;x;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;990;0,0;2;0,5;99,5;15,5;39,5;22,6;10,7;7,8;0,6;0,2;0,5;2,5;x;
A;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2663;1643;61,7;1;36;1607;248;559;505;146;93;37;6;x;x;13;
P;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2663;1643;61,7;1;2,2;97,8;15,4;34,8;31,4;9,1;5,8;2,3;0,4;x;x;0,8;
A;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2663;1643;61,7;2;31;1612;232;503;497;221;79;30;5;1;44;x;
P;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2663;1643;61,7;2;1,9;98,1;14,4;31,2;30,8;13,7;4,9;1,9;0,3;0,1;2,7;x;
A;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;585;348;59,5;1;7;341;56;129;95;25;15;11;2;x;x;8;
P;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;585;348;59,5;1;2,0;98,0;16,4;37,8;27,9;7,3;4,4;3,2;0,6;x;x;2,3;
A;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;585;348;59,5;2;10;338;53;110;101;41;13;11;2;0;7;x;
P;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;585;348;59,5;2;2,9;97,1;15,7;32,5;29,9;12,1;3,8;3,3;0,6;0,0;2,1;x;
A;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;221;127;57,5;1;1;126;31;31;45;10;8;1;0;x;x;0;
P;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;221;127;57,5;1;0,8;99,2;24,6;24,6;35,7;7,9;6,3;0,8;0,0;x;x;0,0;
A;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;221;127;57,5;2;0;127;25;30;49;11;9;2;0;0;1;x;
P;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;221;127;57,5;2;0,0;100,0;19,7;23,6;38,6;8,7;7,1;1,6;0,0;0,0;0,8;x;
A;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;604;377;62,4;1;8;369;64;107;139;27;15;8;3;x;x;6;
P;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;604;377;62,4;1;2,1;97,9;17,3;29,0;37,7;7,3;4,1;2,2;0,8;x;x;1,6;
A;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;604;377;62,4;2;7;370;64;102;132;37;10;8;0;3;14;x;
P;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;604;377;62,4;2;1,9;98,1;17,3;27,6;35,7;10,0;2,7;2,2;0,0;0,8;3,8;x;
A;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;2282;1510;66,2;1;17;1493;277;483;439;124;99;57;3;x;x;11;
P;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;2282;1510;66,2;1;1,1;98,9;18,6;32,4;29,4;8,3;6,6;3,8;0,2;x;x;0,7;
A;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;2282;1510;66,2;2;13;1497;245;468;429;191;63;55;2;3;41;x;
P;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;2282;1510;66,2;2;0,9;99,1;16,4;31,3;28,7;12,8;4,2;3,7;0,1;0,2;2,7;x;
A;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;475;292;61,5;1;2;290;47;101;79;26;19;14;2;x;x;2;
P;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;475;292;61,5;1;0,7;99,3;16,2;34,8;27,2;9,0;6,6;4,8;0,7;x;x;0,7;
A;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;475;292;61,5;2;2;290;41;96;79;37;19;11;2;0;5;x;
P;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;475;292;61,5;2;0,7;99,3;14,1;33,1;27,2;12,8;6,6;3,8;0,7;0,0;1,7;x;
A;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;458;293;64,0;1;5;288;37;114;80;30;15;9;1;x;x;2;
P;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;458;293;64,0;1;1,7;98,3;12,8;39,6;27,8;10,4;5,2;3,1;0,3;x;x;0,7;
A;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;458;293;64,0;2;6;287;38;97;74;45;9;11;0;0;13;x;
P;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;458;293;64,0;2;2,0;98,0;13,2;33,8;25,8;15,7;3,1;3,8;0,0;0,0;4,5;x;
A;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;654;0,0;1;5;649;107;221;165;76;59;10;2;x;x;9;
P;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;654;0,0;1;0,8;99,2;16,5;34,1;25,4;11,7;9,1;1,5;0,3;x;x;1,4;
A;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;654;0,0;2;3;651;88;242;159;79;45;11;0;1;26;x;
P;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;654;0,0;2;0,5;99,5;13,5;37,2;24,4;12,1;6,9;1,7;0,0;0,2;4,0;x;
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;450;261;58,0;1;13;248;54;78;75;20;14;6;x;x;x;1;
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;450;261;58,0;1;5,0;95,0;21,8;31,5;30,2;8,1;5,6;2,4;x;x;x;0,4;
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;450;261;58,0;2;12;249;44;70;82;29;15;5;1;1;2;x;
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;450;261;58,0;2;4,6;95,4;17,7;28,1;32,9;11,6;6,0;2,0;0,4;0,4;0,8;x;
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051007;Bastorf;1;1;879;487;55,4;1;8;479;99;151;139;37;24;21;x;x;x;8;
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051007;Bastorf;1;1;879;487;55,4;1;1,6;98,4;20,7;31,5;29,0;7,7;5,0;4,4;x;x;x;1,7;
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051007;Bastorf;1;1;879;487;55,4;2;7;480;77;151;142;55;27;17;1;1;9;x;
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051007;Bastorf;1;1;879;487;55,4;2;1,4;98,6;16,0;31,5;29,6;11,5;5,6;3,5;0,2;0,2;1,9;x;
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051010;Biendorf;2;2;1044;559;53,5;1;15;544;91;178;181;39;34;17;x;x;x;4;
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051010;Biendorf;2;2;1044;559;53,5;1;2,7;97,3;16,7;32,7;33,3;7,2;6,3;3,1;x;x;x;0,7;
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051010;Biendorf;2;2;1044;559;53,5;2;17;542;62;154;188;61;42;18;0;2;15;x;
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051010;Biendorf;2;2;1044;559;53,5;2;3,0;97,0;11,4;28,4;34,7;11,3;7,7;3,3;0,0;0,4;2,8;x;
