Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 18. September 2005;;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;;

Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;Die Linke.;FDP;GRÜNE;NPD;GRAUE;MLPD;PBC;Einzelbewerber
A;60;Parchim;6017;Ostufer Schweriner See;13060045;Langen Brütz;1;1;452;312;69;2;3;309;117;87;55;23;16;9;1;0;1;x
P;60;Parchim;6017;Ostufer Schweriner See;13060045;Langen Brütz;1;1;452;312;69;2;1;99;37,9;28,2;17,8;7,4;5,2;2,9;0,3;0;0,3;x
A;60;Parchim;6017;Ostufer Schweriner See;13060048;Leezen;5;5;1836;1175;64;1;24;1151;415;412;209;55;24;36;x;x;x;x
P;60;Parchim;6017;Ostufer Schweriner See;13060048;Leezen;5;5;1836;1175;64;1;2;98;36,1;35,8;18,2;4,8;2,1;3,1;x;x;x;x
A;60;Parchim;6017;Ostufer Schweriner See;13060048;Leezen;5;5;1836;1175;64;2;15;1160;383;341;228;107;46;35;15;2;3;x
P;60;Parchim;6017;Ostufer Schweriner See;13060048;Leezen;5;5;1836;1175;64;2;1,3;98,7;33;29,4;19,7;9,2;4;3;1,3;0,2;0,3;x
A;60;Parchim;6017;Ostufer Schweriner See;13060059;Pinnow;2;2;1453;1040;71,6;1;14;1026;378;363;175;45;50;15;x;x;x;x
P;60;Parchim;6017;Ostufer Schweriner See;13060059;Pinnow;2;2;1453;1040;71,6;1;1,3;98,7;36,8;35,4;17,1;4,4;4,9;1,5;x;x;x;x
A;60;Parchim;6017;Ostufer Schweriner See;13060059;Pinnow;2;2;1453;1040;71,6;2;10;1030;348;323;181;90;65;15;7;1;0;x
P;60;Parchim;6017;Ostufer Schweriner See;13060059;Pinnow;2;2;1453;1040;71,6;2;1;99;33,8;31,4;17,6;8,7;6,3;1,5;0,7;0,1;0;x
A;60;Parchim;6017;Ostufer Schweriner See;13060063;Raben Steinfeld;2;2;988;710;71,9;1;10;700;281;227;127;36;24;5;x;x;x;x
P;60;Parchim;6017;Ostufer Schweriner See;13060063;Raben Steinfeld;2;2;988;710;71,9;1;1,4;98,6;40,1;32,4;18,1;5,1;3,4;0,7;x;x;x;x
A;60;Parchim;6017;Ostufer Schweriner See;13060063;Raben Steinfeld;2;2;988;710;71,9;2;6;704;263;200;129;66;37;5;2;2;0;x
P;60;Parchim;6017;Ostufer Schweriner See;13060063;Raben Steinfeld;2;2;988;710;71,9;2;0,8;99,2;37,4;28,4;18,3;9,4;5,3;0,7;0,3;0,3;0;x
A;60;Parchim;6017;Ostufer Schweriner See;13060096;Dobin am See;3;3;1616;1092;67,6;1;20;1072;364;390;200;65;29;24;x;x;x;x
P;60;Parchim;6017;Ostufer Schweriner See;13060096;Dobin am See;3;3;1616;1092;67,6;1;1,8;98,2;34;36,4;18,7;6,1;2,7;2,2;x;x;x;x
A;60;Parchim;6017;Ostufer Schweriner See;13060096;Dobin am See;3;3;1616;1092;67,6;2;14;1078;346;368;208;81;43;24;1;5;2;x
P;60;Parchim;6017;Ostufer Schweriner See;13060096;Dobin am See;3;3;1616;1092;67,6;2;1,3;98,7;32,1;34,1;19,3;7,5;4;2,2;0,1;0,5;0,2;x
A;60;Parchim;6017;Ostufer Schweriner See;13060717;Briefwahl Ostufer Schweriner See;1;1;0;765;0;1;7;758;308;251;113;27;52;7;x;x;x;x
P;60;Parchim;6017;Ostufer Schweriner See;13060717;Briefwahl Ostufer Schweriner See;1;1;0;765;0;1;0,9;99,1;40,6;33,1;14,9;3,6;6,9;0,9;x;x;x;x
A;60;Parchim;6017;Ostufer Schweriner See;13060717;Briefwahl Ostufer Schweriner See;1;1;0;765;0;2;4;761;290;238;123;42;60;5;3;0;0;x
P;60;Parchim;6017;Ostufer Schweriner See;13060717;Briefwahl Ostufer Schweriner See;1;1;0;765;0;2;0,5;99,5;38,1;31,3;16,2;5,5;7,9;0,7;0,4;0;0;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060004;Blankenberg;1;1;371;255;68,7;1;7;248;99;68;62;8;5;6;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060004;Blankenberg;1;1;371;255;68,7;1;2,7;97,3;39,9;27,4;25;3,2;2;2,4;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060004;Blankenberg;1;1;371;255;68,7;2;6;249;100;70;54;11;5;7;1;1;0;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060004;Blankenberg;1;1;371;255;68,7;2;2,4;97,6;40,2;28,1;21,7;4,4;2;2,8;0,4;0,4;0;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060005;Borkow;1;1;436;275;63,1;1;4;271;84;71;90;7;8;11;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060005;Borkow;1;1;436;275;63,1;1;1,5;98,5;31;26,2;33,2;2,6;3;4,1;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060005;Borkow;1;1;436;275;63,1;2;5;270;71;65;96;14;9;13;2;0;0;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060005;Borkow;1;1;436;275;63,1;2;1,8;98,2;26,3;24,1;35,6;5,2;3,3;4,8;0,7;0;0;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060007;Brüel, Stadt;2;2;2591;1534;59,2;1;38;1496;542;399;406;69;25;55;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060007;Brüel, Stadt;2;2;2591;1534;59,2;1;2,5;97,5;36,2;26,7;27,1;4,6;1,7;3,7;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060007;Brüel, Stadt;2;2;2591;1534;59,2;2;40;1494;474;361;425;104;51;62;5;3;9;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060007;Brüel, Stadt;2;2;2591;1534;59,2;2;2,6;97,4;31,7;24,2;28,4;7;3,4;4,1;0,3;0,2;0,6;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060011;Dabel;1;1;1320;815;61,7;1;18;797;237;283;206;38;15;18;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060011;Dabel;1;1;1320;815;61,7;1;2,2;97,8;29,7;35,5;25,8;4,8;1,9;2,3;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060011;Dabel;1;1;1320;815;61,7;2;19;796;220;278;194;55;25;19;2;1;2;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060011;Dabel;1;1;1320;815;61,7;2;2,3;97,7;27,6;34,9;24,4;6,9;3,1;2,4;0,3;0,1;0,3;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060035;Hohen Pritz;1;1;356;217;61;1;2;215;90;69;45;4;2;5;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060035;Hohen Pritz;1;1;356;217;61;1;0,9;99,1;41,9;32,1;20,9;1,9;0,9;2,3;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060035;Hohen Pritz;1;1;356;217;61;2;1;216;81;65;51;7;5;5;2;0;0;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060035;Hohen Pritz;1;1;356;217;61;2;0,5;99,5;37,5;30,1;23,6;3,2;2,3;2,3;0,9;0;0;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060040;Kobrow;1;1;407;246;60,4;1;9;237;65;87;56;14;3;12;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060040;Kobrow;1;1;407;246;60,4;1;3,7;96,3;27,4;36,7;23,6;5,9;1,3;5,1;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060040;Kobrow;1;1;407;246;60,4;2;9;237;63;82;52;21;6;13;0;0;0;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060040;Kobrow;1;1;407;246;60,4;2;3,7;96,3;26,6;34,6;21,9;8,9;2,5;5,5;0;0;0;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060046;Langen Jarchow;1;1;222;153;68,9;1;3;150;61;42;32;2;4;9;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060046;Langen Jarchow;1;1;222;153;68,9;1;2;98;40,7;28;21,3;1,3;2,7;6;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060046;Langen Jarchow;1;1;222;153;68,9;2;2;151;60;37;28;7;8;9;2;0;0;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060046;Langen Jarchow;1;1;222;153;68,9;2;1,3;98,7;39,7;24,5;18,5;4,6;5,3;6;1,3;0;0;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060054;Mustin;1;1;452;287;63,5;1;5;282;112;79;75;5;6;5;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060054;Mustin;1;1;452;287;63,5;1;1,7;98,3;39,7;28;26,6;1,8;2,1;1,8;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060054;Mustin;1;1;452;287;63,5;2;5;282;105;75;77;8;10;5;2;0;0;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060054;Mustin;1;1;452;287;63,5;2;1,7;98,3;37,2;26,6;27,3;2,8;3,5;1,8;0,7;0;0;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060073;Sternberg, Stadt;7;7;4104;2448;59,6;1;72;2376;816;685;666;77;49;83;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060073;Sternberg, Stadt;7;7;4104;2448;59,6;1;2,9;97,1;34,3;28,8;28;3,2;2,1;3,5;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060073;Sternberg, Stadt;7;7;4104;2448;59,6;2;69;2379;728;640;672;142;86;86;10;9;6;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060073;Sternberg, Stadt;7;7;4104;2448;59,6;2;2,8;97,2;30,6;26,9;28,2;6;3,6;3,6;0,4;0,4;0,3;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060082;Weitendorf;1;1;348;239;68,7;1;3;236;86;46;77;8;12;7;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060082;Weitendorf;1;1;348;239;68,7;1;1,3;98,7;36,4;19,5;32,6;3,4;5,1;3;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060082;Weitendorf;1;1;348;239;68,7;2;3;236;69;46;84;9;20;6;1;1;0;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060082;Weitendorf;1;1;348;239;68,7;2;1,3;98,7;29,2;19,5;35,6;3,8;8,5;2,5;0,4;0,4;0;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060088;Witzin;1;1;461;297;64,4;1;7;290;82;97;59;9;11;32;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060088;Witzin;1;1;461;297;64,4;1;2,4;97,6;28,3;33,4;20,3;3,1;3,8;11;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060088;Witzin;1;1;461;297;64,4;2;7;290;65;86;58;14;15;32;4;0;16;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060088;Witzin;1;1;461;297;64,4;2;2,4;97,6;22,4;29,7;20;4,8;5,2;11;1,4;0;5,5;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060089;Zahrensdorf;1;1;302;191;63,2;1;9;182;92;36;34;9;5;6;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060089;Zahrensdorf;1;1;302;191;63,2;1;4,7;95,3;50,5;19,8;18,7;4,9;2,7;3,3;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060089;Zahrensdorf;1;1;302;191;63,2;2;7;184;79;31;41;12;11;9;1;0;0;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060089;Zahrensdorf;1;1;302;191;63,2;2;3,7;96,3;42,9;16,8;22,3;6,5;6;4,9;0,5;0;0;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060097;Kuhlen-Wendorf;2;2;812;497;61,2;1;13;484;170;106;162;12;20;14;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060097;Kuhlen-Wendorf;2;2;812;497;61,2;1;2,6;97,4;35,1;21,9;33,5;2,5;4,1;2,9;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060097;Kuhlen-Wendorf;2;2;812;497;61,2;2;13;484;178;93;157;20;16;15;1;3;1;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060097;Kuhlen-Wendorf;2;2;812;497;61,2;2;2,6;97,4;36,8;19,2;32,4;4,1;3,3;3,1;0,2;0,6;0,2;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060722;Briefwahl Sternberger Seenlandschaft;1;1;0;1110;0;1;18;1092;401;304;300;31;40;16;x;x;x;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060722;Briefwahl Sternberger Seenlandschaft;1;1;0;1110;0;1;1,6;98,4;36,7;27,8;27,5;2,8;3,7;1,5;x;x;x;x
A;60;Parchim;6022;Sternberger Seenlandschaft;13060722;Briefwahl Sternberger Seenlandschaft;1;1;0;1110;0;2;15;1095;382;300;291;51;51;13;3;1;3;x
P;60;Parchim;6022;Sternberger Seenlandschaft;13060722;Briefwahl Sternberger Seenlandschaft;1;1;0;1110;0;2;1,4;98,6;34,9;27,4;26,6;4,7;4,7;1,2;0,3;0,1;0,3;x
A;60;Parchim;6023;Eldenburg Lübz;13060006;Broock;1;1;332;225;67,8;1;3;222;52;108;39;11;9;3;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060006;Broock;1;1;332;225;67,8;1;1,3;98,7;23,4;48,6;17,6;5;4,1;1,4;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060006;Broock;1;1;332;225;67,8;2;3;222;50;108;33;15;12;2;2;0;0;x
P;60;Parchim;6023;Eldenburg Lübz;13060006;Broock;1;1;332;225;67,8;2;1,3;98,7;22,5;48,6;14,9;6,8;5,4;0,9;0,9;0;0;x
A;60;Parchim;6023;Eldenburg Lübz;13060021;Gischow;1;1;243;139;57,2;1;2;137;33;60;27;9;4;4;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060021;Gischow;1;1;243;139;57,2;1;1,4;98,6;24,1;43,8;19,7;6,6;2,9;2,9;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060021;Gischow;1;1;243;139;57,2;2;3;136;31;49;30;17;5;4;0;0;0;x
P;60;Parchim;6023;Eldenburg Lübz;13060021;Gischow;1;1;243;139;57,2;2;2,2;97,8;22,8;36;22,1;12,5;3,7;2,9;0;0;0;x
A;60;Parchim;6023;Eldenburg Lübz;13060028;Granzin;1;1;464;315;67,9;1;5;310;103;87;108;4;1;7;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060028;Granzin;1;1;464;315;67,9;1;1,6;98,4;33,2;28,1;34,8;1,3;0,3;2,3;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060028;Granzin;1;1;464;315;67,9;2;4;311;99;92;97;8;5;6;0;2;2;x
P;60;Parchim;6023;Eldenburg Lübz;13060028;Granzin;1;1;464;315;67,9;2;1,3;98,7;31,8;29,6;31,2;2,6;1,6;1,9;0;0,6;0,6;x
A;60;Parchim;6023;Eldenburg Lübz;13060033;Herzberg;1;1;317;211;66,6;1;5;206;63;60;53;12;6;12;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060033;Herzberg;1;1;317;211;66,6;1;2,4;97,6;30,6;29,1;25,7;5,8;2,9;5,8;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060033;Herzberg;1;1;317;211;66,6;2;7;204;59;55;53;16;7;12;2;0;0;x
P;60;Parchim;6023;Eldenburg Lübz;13060033;Herzberg;1;1;317;211;66,6;2;3,3;96,7;28,9;27;26;7,8;3,4;5,9;1;0;0;x
A;60;Parchim;6023;Eldenburg Lübz;13060036;Karbow-Vietlübbe;1;1;329;230;69,9;1;7;223;70;71;56;11;4;11;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060036;Karbow-Vietlübbe;1;1;329;230;69,9;1;3;97;31,4;31,8;25,1;4,9;1,8;4,9;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060036;Karbow-Vietlübbe;1;1;329;230;69,9;2;7;223;67;75;54;9;4;12;0;1;1;x
P;60;Parchim;6023;Eldenburg Lübz;13060036;Karbow-Vietlübbe;1;1;329;230;69,9;2;3;97;30;33,6;24,2;4;1,8;5,4;0;0,4;0,4;x
A;60;Parchim;6023;Eldenburg Lübz;13060041;Kreien;1;1;377;267;70,8;1;1;266;91;105;48;10;2;10;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060041;Kreien;1;1;377;267;70,8;1;0,4;99,6;34,2;39,5;18;3,8;0,8;3,8;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060041;Kreien;1;1;377;267;70,8;2;1;266;83;109;47;11;7;6;2;1;0;x
P;60;Parchim;6023;Eldenburg Lübz;13060041;Kreien;1;1;377;267;70,8;2;0,4;99,6;31,2;41;17,7;4,1;2,6;2,3;0,8;0,4;0;x
A;60;Parchim;6023;Eldenburg Lübz;13060042;Kritzow;1;1;438;269;61,4;1;7;262;83;88;56;16;8;11;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060042;Kritzow;1;1;438;269;61,4;1;2,6;97,4;31,7;33,6;21,4;6,1;3,1;4,2;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060042;Kritzow;1;1;438;269;61,4;2;4;265;73;87;57;23;14;7;3;1;0;x
P;60;Parchim;6023;Eldenburg Lübz;13060042;Kritzow;1;1;438;269;61,4;2;1,5;98,5;27,5;32,8;21,5;8,7;5,3;2,6;1,1;0,4;0;x
A;60;Parchim;6023;Eldenburg Lübz;13060049;Lübz, Stadt;5;5;5324;3098;58,2;1;53;3045;1035;984;739;139;39;109;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060049;Lübz, Stadt;5;5;5324;3098;58,2;1;1,7;98,3;34;32,3;24,3;4,6;1,3;3,6;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060049;Lübz, Stadt;5;5;5324;3098;58,2;2;46;3052;971;956;731;199;60;107;12;7;9;x
P;60;Parchim;6023;Eldenburg Lübz;13060049;Lübz, Stadt;5;5;5324;3098;58,2;2;1,5;98,5;31,8;31,3;24;6,5;2;3,5;0,4;0,2;0,3;x
A;60;Parchim;6023;Eldenburg Lübz;13060050;Lutheran;1;1;274;194;70,8;1;0;194;61;56;51;14;4;8;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060050;Lutheran;1;1;274;194;70,8;1;0;100;31,4;28,9;26,3;7,2;2,1;4,1;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060050;Lutheran;1;1;274;194;70,8;2;0;194;60;63;48;13;3;6;1;0;0;x
P;60;Parchim;6023;Eldenburg Lübz;13060050;Lutheran;1;1;274;194;70,8;2;0;100;30,9;32,5;24,7;6,7;1,5;3,1;0,5;0;0;x
A;60;Parchim;6023;Eldenburg Lübz;13060051;Marnitz;1;1;744;428;57,5;1;7;421;154;160;64;20;5;18;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060051;Marnitz;1;1;744;428;57,5;1;1,6;98,4;36,6;38;15,2;4,8;1,2;4,3;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060051;Marnitz;1;1;744;428;57,5;2;10;418;136;151;73;25;9;20;1;1;2;x
P;60;Parchim;6023;Eldenburg Lübz;13060051;Marnitz;1;1;744;428;57,5;2;2,3;97,7;32,5;36,1;17,5;6;2,2;4,8;0,2;0,2;0,5;x
A;60;Parchim;6023;Eldenburg Lübz;13060057;Passow;1;1;664;421;63,4;1;7;414;145;100;121;19;10;19;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060057;Passow;1;1;664;421;63,4;1;1,7;98,3;35;24,2;29,2;4,6;2,4;4,6;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060057;Passow;1;1;664;421;63,4;2;4;417;127;111;118;28;9;17;5;1;1;x
P;60;Parchim;6023;Eldenburg Lübz;13060057;Passow;1;1;664;421;63,4;2;1;99;30,5;26,6;28,3;6,7;2,2;4,1;1,2;0,2;0,2;x
A;60;Parchim;6023;Eldenburg Lübz;13060071;Siggelkow;3;3;861;593;68,9;1;11;582;192;191;130;22;13;34;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060071;Siggelkow;3;3;861;593;68,9;1;1,9;98,1;33;32,8;22,3;3,8;2,2;5,8;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060071;Siggelkow;3;3;861;593;68,9;2;13;580;177;180;138;27;14;37;4;1;2;x
P;60;Parchim;6023;Eldenburg Lübz;13060071;Siggelkow;3;3;861;593;68,9;2;2,2;97,8;30,5;31;23,8;4,7;2,4;6,4;0,7;0,2;0,3;x
A;60;Parchim;6023;Eldenburg Lübz;13060076;Suckow;1;1;532;333;62,6;1;4;329;83;126;76;17;7;20;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060076;Suckow;1;1;532;333;62,6;1;1,2;98,8;25,2;38,3;23,1;5,2;2,1;6,1;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060076;Suckow;1;1;532;333;62,6;2;4;329;76;118;80;22;12;21;0;0;0;x
P;60;Parchim;6023;Eldenburg Lübz;13060076;Suckow;1;1;532;333;62,6;2;1,2;98,8;23,1;35,9;24,3;6,7;3,6;6,4;0;0;0;x
A;60;Parchim;6023;Eldenburg Lübz;13060079;Tessenow;1;1;559;387;69,2;1;8;379;148;126;54;17;18;16;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060079;Tessenow;1;1;559;387;69,2;1;2,1;97,9;39,1;33,2;14,2;4,5;4,7;4,2;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060079;Tessenow;1;1;559;387;69,2;2;7;380;139;120;57;20;19;18;2;1;4;x
P;60;Parchim;6023;Eldenburg Lübz;13060079;Tessenow;1;1;559;387;69,2;2;1,8;98,2;36,6;31,6;15;5,3;5;4,7;0,5;0,3;1,1;x
A;60;Parchim;6023;Eldenburg Lübz;13060081;Wahlstorf;1;1;138;99;71,7;1;3;96;20;51;11;9;0;5;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060081;Wahlstorf;1;1;138;99;71,7;1;3;97;20,8;53,1;11,5;9,4;0;5,2;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060081;Wahlstorf;1;1;138;99;71,7;2;1;98;19;46;14;13;0;6;0;0;0;x
P;60;Parchim;6023;Eldenburg Lübz;13060081;Wahlstorf;1;1;138;99;71,7;2;1;99;19,4;46,9;14,3;13,3;0;6,1;0;0;0;x
A;60;Parchim;6023;Eldenburg Lübz;13060086;Werder;1;1;360;224;62,2;1;4;220;74;86;36;9;7;8;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060086;Werder;1;1;360;224;62,2;1;1,8;98,2;33,6;39,1;16,4;4,1;3,2;3,6;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060086;Werder;1;1;360;224;62,2;2;3;221;71;83;38;13;7;6;0;1;2;x
P;60;Parchim;6023;Eldenburg Lübz;13060086;Werder;1;1;360;224;62,2;2;1,3;98,7;32,1;37,6;17,2;5,9;3,2;2,7;0;0,5;0,9;x
A;60;Parchim;6023;Eldenburg Lübz;13060093;Gallin-Kuppentin;1;1;514;327;63,6;1;0;327;135;81;80;12;5;14;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060093;Gallin-Kuppentin;1;1;514;327;63,6;1;0;100;41,3;24,8;24,5;3,7;1,5;4,3;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060093;Gallin-Kuppentin;1;1;514;327;63,6;2;0;327;132;77;76;18;5;12;4;2;1;x
P;60;Parchim;6023;Eldenburg Lübz;13060093;Gallin-Kuppentin;1;1;514;327;63,6;2;0;100;40,4;23,5;23,2;5,5;1,5;3,7;1,2;0,6;0,3;x
A;60;Parchim;6023;Eldenburg Lübz;13060723;Briefwahl Eldenburg Lübz;1;1;0;905;0;1;10;895;313;294;198;40;28;22;x;x;x;x
P;60;Parchim;6023;Eldenburg Lübz;13060723;Briefwahl Eldenburg Lübz;1;1;0;905;0;1;1,1;98,9;35;32,8;22,1;4,5;3,1;2,5;x;x;x;x
A;60;Parchim;6023;Eldenburg Lübz;13060723;Briefwahl Eldenburg Lübz;1;1;0;905;0;2;9;896;296;282;193;60;30;21;7;4;3;x
P;60;Parchim;6023;Eldenburg Lübz;13060723;Briefwahl Eldenburg Lübz;1;1;0;905;0;2;1;99;33;31,5;21,5;6,7;3,3;2,3;0,8;0,4;0,3;x
A;60;Parchim;6024;Parchimer Umland;13060012;Damm;1;1;437;318;72,8;1;8;310;104;107;55;22;6;16;x;x;x;x
P;60;Parchim;6024;Parchimer Umland;13060012;Damm;1;1;437;318;72,8;1;2,5;97,5;33,5;34,5;17,7;7,1;1,9;5,2;x;x;x;x
A;60;Parchim;6024;Parchimer Umland;13060012;Damm;1;1;437;318;72,8;2;8;310;90;100;60;23;16;17;3;1;0;x
P;60;Parchim;6024;Parchimer Umland;13060012;Damm;1;1;437;318;72,8;2;2,5;97,5;29;32,3;19,4;7,4;5,2;5,5;1;0,3;0;x
A;60;Parchim;6024;Parchimer Umland;13060016;Domsühl;1;1;930;658;70,8;1;14;644;201;232;146;27;10;28;x;x;x;x
P;60;Parchim;6024;Parchimer Umland;13060016;Domsühl;1;1;930;658;70,8;1;2,1;97,9;31,2;36;22,7;4,2;1,6;4,3;x;x;x;x
A;60;Parchim;6024;Parchimer Umland;13060016;Domsühl;1;1;930;658;70,8;2;9;649;177;221;148;44;18;25;9;5;2;x
P;60;Parchim;6024;Parchimer Umland;13060016;Domsühl;1;1;930;658;70,8;2;1,4;98,6;27,3;34,1;22,8;6,8;2,8;3,9;1,4;0,8;0,3;x
A;60;Parchim;6024;Parchimer Umland;13060029;Grebbin;1;1;469;332;70,8;1;7;325;116;95;83;10;10;11;x;x;x;x
P;60;Parchim;6024;Parchimer Umland;13060029;Grebbin;1;1;469;332;70,8;1;2,1;97,9;35,7;29,2;25,5;3,1;3,1;3,4;x;x;x;x
A;60;Parchim;6024;Parchimer Umland;13060029;Grebbin;1;1;469;332;70,8;2;4;328;103;88;82;23;13;14;3;1;1;x
P;60;Parchim;6024;Parchimer Umland;13060029;Grebbin;1;1;469;332;70,8;2;1,2;98,8;31,4;26,8;25;7;4;4,3;0,9;0,3;0,3;x
A;60;Parchim;6024;Parchimer Umland;13060030;Groß Godems;1;1;312;239;76,6;1;3;236;73;98;49;7;7;2;x;x;x;x
P;60;Parchim;6024;Parchimer Umland;13060030;Groß Godems;1;1;312;239;76,6;1;1,3;98,7;30,9;41,5;20,8;3;3;0,8;x;x;x;x
A;60;Parchim;6024;Parchimer Umland;13060030;Groß Godems;1;1;312;239;76,6;2;5;234;61;93;57;12;6;4;0;0;1;x
