Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 18. September 2005;;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;;

Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;Die Linke.;FDP;GRÜNE;NPD;GRAUE;MLPD;PBC;Einzelbewerber
A;51;Bad Doberan;5108;Kröpelin, Stadt;13051041;Kröpelin, Stadt;7;7;4255;2928;68,8;1;41;2887;1061;896;630;108;62;108;x;x;8;14
P;51;Bad Doberan;5108;Kröpelin, Stadt;13051041;Kröpelin, Stadt;7;7;4255;2928;68,8;1;1,4;98,6;36,8;31;21,8;3,7;2,1;3,7;x;x;0,3;0,5
A;51;Bad Doberan;5108;Kröpelin, Stadt;13051041;Kröpelin, Stadt;7;7;4255;2928;68,8;2;42;2886;1026;855;638;156;77;102;12;14;6;x
P;51;Bad Doberan;5108;Kröpelin, Stadt;13051041;Kröpelin, Stadt;7;7;4255;2928;68,8;2;1,4;98,6;35,6;29,6;22,1;5,4;2,7;3,5;0,4;0,5;0,2;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2354;1748;74,3;1;23;1725;581;653;309;72;43;54;x;x;5;8
P;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2354;1748;74,3;1;1,3;98,7;33,7;37,9;17,9;4,2;2,5;3,1;x;x;0,3;0,5
A;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2354;1748;74,3;2;26;1722;583;595;295;115;64;47;15;3;5;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2354;1748;74,3;2;1,5;98,5;33,9;34,6;17,1;6,7;3,7;2,7;0,9;0,2;0,3;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1017;731;71,9;1;15;716;281;245;115;27;20;23;x;x;0;5
P;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1017;731;71,9;1;2,1;97,9;39,2;34,2;16,1;3,8;2,8;3,2;x;x;0;0,7
A;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1017;731;71,9;2;13;718;248;231;133;40;41;19;2;1;3;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1017;731;71,9;2;1,8;98,2;34,5;32,2;18,5;5,6;5,7;2,6;0,3;0,1;0,4;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1392;1016;73;1;31;985;323;344;185;48;35;40;x;x;3;7
P;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1392;1016;73;1;3,1;96,9;32,8;34,9;18,8;4,9;3,6;4,1;x;x;0,3;0,7
A;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1392;1016;73;2;29;987;298;339;183;65;46;47;4;2;3;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1392;1016;73;2;2,9;97,1;30,2;34,3;18,5;6,6;4,7;4,8;0,4;0,2;0,3;x
