Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 22. September 2002;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;PDS;GRÜNE;FDP;NPD;REP;Schill;Einzelbewerber
A;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2323;1666;71,7;1;29;1637;725;458;262;47;118;x;x;27;x
P;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2323;1666;71,7;1;1,7;98,3;44,3;28;16;2,9;7,2;x;x;1,6;x
A;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2323;1666;71,7;2;19;1647;688;443;274;64;130;7;1;40;x
P;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2323;1666;71,7;2;1,1;98,9;41,8;26,9;16,6;3,9;7,9;0,4;0,1;2,4;x
A;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;489;303;62;1;10;293;153;79;33;9;16;x;x;3;x
P;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;489;303;62;1;3,3;96,7;52,2;27;11,3;3,1;5,5;x;x;1;x
A;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;489;303;62;2;13;290;145;71;42;10;16;1;0;5;x
P;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;489;303;62;2;4,3;95,7;50;24,5;14,5;3,4;5,5;0,3;0;1,7;x
A;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;214;134;62,6;1;1;133;52;49;25;1;2;x;x;4;x
P;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;214;134;62,6;1;0,7;99,3;39,1;36,8;18,8;0,8;1,5;x;x;3;x
A;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;214;134;62,6;2;2;132;49;45;27;3;2;4;1;1;x
P;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;214;134;62,6;2;1,5;98,5;37,1;34,1;20,5;2,3;1,5;3;0,8;0,8;x
A;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;565;402;71,2;1;7;395;166;90;100;9;25;x;x;5;x
P;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;565;402;71,2;1;1,7;98,3;42;22,8;25,3;2,3;6,3;x;x;1,3;x
A;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;565;402;71,2;2;3;399;161;93;104;10;28;0;2;1;x
P;51;Bad Doberan;5112;Carbäk;13051054;Poppendorf;1;1;565;402;71,2;2;0,7;99,3;40,4;23,3;26,1;2,5;7;0;0,5;0,3;x
A;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;1702;1256;73,8;1;19;1237;548;348;189;51;72;x;x;29;x
P;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;1702;1256;73,8;1;1,5;98,5;44,3;28,1;15,3;4,1;5,8;x;x;2,3;x
A;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;1702;1256;73,8;2;19;1237;543;346;195;54;63;6;3;27;x
P;51;Bad Doberan;5112;Carbäk;13051064;Roggentin;2;2;1702;1256;73,8;2;1,5;98,5;43,9;28;15,8;4,4;5,1;0,5;0,2;2,2;x
A;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;427;283;66,3;1;10;273;123;72;41;5;22;x;x;10;x
P;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;427;283;66,3;1;3,5;96,5;45,1;26,4;15;1,8;8,1;x;x;3,7;x
A;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;427;283;66,3;2;11;272;116;74;39;6;23;4;0;10;x
P;51;Bad Doberan;5112;Carbäk;13051075;Steinfeld;1;1;427;283;66,3;2;3,9;96,1;42,6;27,2;14,3;2,2;8,5;1,5;0;3,7;x
A;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;423;307;72,6;1;6;301;100;119;35;11;31;x;x;5;x
P;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;423;307;72,6;1;2;98;33,2;39,5;11,6;3,7;10,3;x;x;1,7;x
A;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;423;307;72,6;2;4;303;108;114;34;9;28;5;1;4;x
P;51;Bad Doberan;5112;Carbäk;13051079;Thulendorf;1;1;423;307;72,6;2;1,3;98,7;35,6;37,6;11,2;3;9,2;1,7;0,3;1,3;x
A;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;400;0;1;9;391;166;98;71;17;29;x;x;10;x
P;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;400;0;1;2,3;97,8;42,5;25,1;18,2;4,3;7,4;x;x;2,6;x
A;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;400;0;2;9;391;157;95;79;13;37;2;1;7;x
P;51;Bad Doberan;5112;Carbäk;13051712;Briefwahl Carbäk;1;1;0;400;0;2;2,3;97,8;40,2;24,3;20,2;3,3;9,5;0,5;0,3;1,8;x
A;51;Bad Doberan;5113;Kröpelin;13051003;Altenhagen;1;1;250;186;74,4;1;6;180;85;46;27;9;11;x;x;2;x
P;51;Bad Doberan;5113;Kröpelin;13051003;Altenhagen;1;1;250;186;74,4;1;3,2;96,8;47,2;25,6;15;5;6,1;x;x;1,1;x
A;51;Bad Doberan;5113;Kröpelin;13051003;Altenhagen;1;1;250;186;74,4;2;2;184;77;48;29;12;9;9;0;0;x
P;51;Bad Doberan;5113;Kröpelin;13051003;Altenhagen;1;1;250;186;74,4;2;1,1;98,9;41,8;26,1;15,8;6,5;4,9;4,9;0;0;x
A;51;Bad Doberan;5113;Kröpelin;13051029;Jennewitz;1;1;438;229;52,3;1;10;219;122;48;30;8;8;x;x;3;x
P;51;Bad Doberan;5113;Kröpelin;13051029;Jennewitz;1;1;438;229;52,3;1;4,4;95,6;55,7;21,9;13,7;3,7;3,7;x;x;1,4;x
A;51;Bad Doberan;5113;Kröpelin;13051029;Jennewitz;1;1;438;229;52,3;2;6;223;124;50;26;10;7;2;1;3;x
P;51;Bad Doberan;5113;Kröpelin;13051029;Jennewitz;1;1;438;229;52,3;2;2,6;97,4;55,6;22,4;11,7;4,5;3,1;0,9;0,4;1,3;x
A;51;Bad Doberan;5113;Kröpelin;13051032;Karin;1;1;246;132;53,7;1;10;122;64;32;13;3;9;x;x;1;x
P;51;Bad Doberan;5113;Kröpelin;13051032;Karin;1;1;246;132;53,7;1;7,6;92,4;52,5;26,2;10,7;2,5;7,4;x;x;0,8;x
A;51;Bad Doberan;5113;Kröpelin;13051032;Karin;1;1;246;132;53,7;2;5;127;56;33;17;6;12;1;0;2;x
P;51;Bad Doberan;5113;Kröpelin;13051032;Karin;1;1;246;132;53,7;2;3,8;96,2;44,1;26;13,4;4,7;9,4;0,8;0;1,6;x
A;51;Bad Doberan;5113;Kröpelin;13051041;Kröpelin, Stadt;3;3;3391;2122;62,6;1;49;2073;1001;599;282;50;96;x;x;45;x
P;51;Bad Doberan;5113;Kröpelin;13051041;Kröpelin, Stadt;3;3;3391;2122;62,6;1;2,3;97,7;48,3;28,9;13,6;2,4;4,6;x;x;2,2;x
A;51;Bad Doberan;5113;Kröpelin;13051041;Kröpelin, Stadt;3;3;3391;2122;62,6;2;48;2074;1011;593;266;47;101;14;3;39;x
P;51;Bad Doberan;5113;Kröpelin;13051041;Kröpelin, Stadt;3;3;3391;2122;62,6;2;2,3;97,7;48,7;28,6;12,8;2,3;4,9;0,7;0,1;1,9;x
A;51;Bad Doberan;5113;Kröpelin;13051070;Schmadebeck;1;1;164;115;70,1;1;4;111;42;44;20;0;4;x;x;1;x
P;51;Bad Doberan;5113;Kröpelin;13051070;Schmadebeck;1;1;164;115;70,1;1;3,5;96,5;37,8;39,6;18;0;3,6;x;x;0,9;x
A;51;Bad Doberan;5113;Kröpelin;13051070;Schmadebeck;1;1;164;115;70,1;2;4;111;41;38;25;0;4;0;0;3;x
P;51;Bad Doberan;5113;Kröpelin;13051070;Schmadebeck;1;1;164;115;70,1;2;3,5;96,5;36,9;34,2;22,5;0;3,6;0;0;2,7;x
A;51;Bad Doberan;5113;Kröpelin;13051713;Briefwahl Kröpelin;1;1;0;280;0;1;3;277;115;88;30;15;23;x;x;6;x
P;51;Bad Doberan;5113;Kröpelin;13051713;Briefwahl Kröpelin;1;1;0;280;0;1;1,1;98,9;41,5;31,8;10,8;5,4;8,3;x;x;2,2;x
A;51;Bad Doberan;5113;Kröpelin;13051713;Briefwahl Kröpelin;1;1;0;280;0;2;3;277;112;90;37;14;17;0;0;7;x
P;51;Bad Doberan;5113;Kröpelin;13051713;Briefwahl Kröpelin;1;1;0;280;0;2;1,1;98,9;40,4;32,5;13,4;5,1;6,1;0;0;2,5;x
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;445;314;70,6;1;3;311;153;112;27;2;12;x;x;5;x
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;445;314;70,6;1;1;99;49,2;36;8,7;0,6;3,9;x;x;1,6;x
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;445;314;70,6;2;14;300;138;109;33;3;9;1;0;7;x
